galaxyID,lastProgenitorId,descendantId,haloID,subHaloID,fofID,treeId,firstProgenitorId,nextProgenitorId,type,snapnum,redshift,centralMvir,phkey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,np,mvir,rvir,vvir,vmax,coldGas,stellarMass,bulgeMass,hotGas,ejectedMass,blackHoleMass,metalsColdGas,metalsStellarMass,metalsBulgeMass,metalsHotGas,metalsEjectedMass,sfr,sfrBulge,xrayLum,diskRadius,coolingRadius,mag_b,mag_v,mag_r,mag_i,mag_k,mag_bBulge,mag_vBulge,mag_rBulge,mag_iBulge,mag_kBulge,mag_bDust,mag_vDust,mag_rDust,mag_iDust,mag_kDust,massWeightedAge,random
1000512000000,1000512000045,-1,1000512000000,63000100001102,63000100001102,1000512000000,1000512000001,-1,0,63,0.0,9.381158,6557,25.716862,37.79281,26.703173,88764,2,4,2,69.175385,84.13777,-56.58691,132,9.381158,0.0738922,73.89225,78.19585,0.5670437,0.083316796,0.07520957,0.031123443,0.46599537,1.03643266E-4,0.0013881655,4.138014E-4,3.9702226E-4,8.935979E-5,0.0021685555,0.11191618,0.0,41.03572,0.030085348,0.04123551,-17.699228,-18.147041,-18.62491,-19.042912,-20.230463,-16.81237,-17.516682,-18.123268,-18.61408,-19.92043,-17.69837,-18.14653,-18.624582,-19.042707,-20.230421,4.9713206,632
1000512000001,1000512000045,1000512000000,1000512000001,62000100001116,62000100001116,1000512000000,1000512000002,-1,0,62,0.019932542,8.434436,6557,25.708996,37.754246,26.71768,88764,2,4,2,69.8087,87.94506,-55.57659,124,8.434436,0.07095901,71.498055,72.92397,0.5748694,0.08209003,0.07520957,0.0,0.4619048,1.0364315E-4,0.0013418588,4.108718E-4,3.9702226E-4,0.0,0.0022413027,0.14523342,0.0,0.0,0.028752448,0.07095901,-17.80623,-18.231289,-18.6965,-19.105803,-20.283436,-16.951439,-17.636093,-18.23129,-18.712328,-20.008797,-17.80562,-18.230915,-18.696257,-19.105652,-20.283403,4.7801933,383
1000512000002,1000512000045,1000512000001,1000512000002,61000100001157,61000100001157,1000512000000,1000512000003,-1,0,61,0.041403063,9.467224,6557,25.6903,37.74574,26.726921,88764,2,4,2,67.66106,93.68165,-52.252983,121,9.467224,0.07333493,74.51194,81.20747,0.58581114,0.08042299,0.07520957,0.052641056,0.44714913,1.03643084E-4,0.001276524,4.07114E-4,3.9702226E-4,1.2265638E-4,0.0021609317,0.16552526,0.0,41.410034,0.027617559,0.05100633,-17.870363,-18.283297,-18.742306,-19.148706,-20.332945,-17.107313,-17.76049,-18.339247,-18.811152,-20.105299,-17.869709,-18.28291,-18.74206,-19.148556,-20.332914,4.6005354,65
1000512000003,1000512000045,1000512000002,1000512000003,60000100001120,60000100001120,1000512000000,1000512000004,-1,0,60,0.064493395,9.122961,6557,25.66643,37.731598,26.736906,88764,2,4,2,66.47518,100.13426,-51.83389,119,9.122961,0.071991436,73.82398,84.636925,0.5962639,0.0784404,0.07520957,0.02156819,0.41572794,1.03642764E-4,0.0011931448,4.0297973E-4,3.9702226E-4,4.7769823E-5,0.0022171745,0.16456334,0.0,40.732914,0.026724966,0.031711005,-18.020739,-18.47636,-18.969631,-19.40423,-20.70921,-17.477798,-18.12814,-18.714092,-19.199537,-20.59033,-18.020082,-18.476002,-18.969416,-19.404104,-20.709187,4.425294,583
1000512000004,1000512000045,1000512000003,1000512000004,59000100001114,59000100001114,1000512000000,1000512000005,-1,0,59,0.08928783,8.692633,6557,25.647121,37.71106,26.747856,88764,2,4,2,64.7707,109.47743,-48.91823,113,8.692633,0.07036344,72.89069,83.22376,0.48905444,0.07639084,0.07520957,0.10143764,0.3772132,1.0364236E-4,8.832773E-4,3.990772E-4,3.9702226E-4,1.7195141E-4,0.00229674,0.09150183,0.0,41.809082,0.026580133,0.06375206,-17.856073,-18.29146,-18.745205,-19.141123,-20.3073,-17.590122,-18.114029,-18.609259,-19.028605,-20.234158,-17.855825,-18.291325,-18.745121,-19.141073,-20.307291,4.241155,335
1000512000005,1000512000045,1000512000004,1000512000005,58000100001013,58000100001013,1000512000000,1000512000006,-1,0,58,0.11588337,7.9180417,6557,25.621422,37.690025,26.766867,88764,2,4,2,67.25141,103.80973,-47.45324,134,7.9180417,0.067701906,70.92158,77.2532,0.30726087,0.07520957,0.07520957,0.16767806,0.37032875,1.0364168E-4,6.171661E-4,3.9702226E-4,3.9702226E-4,1.7291948E-4,0.0024992097,0.0,0.0,42.025867,0.030191818,0.06602973,-17.940481,-18.371937,-18.816683,-19.215836,-20.40024,-17.940481,-18.371937,-18.816683,-19.215836,-20.40024,-17.940481,-18.371937,-18.816683,-19.215836,-20.40024,3.9953167,146
1000512000006,1000512000045,1000512000005,1000512000006,57000100001051,57000100001051,1000512000000,1000512000007,-1,0,57,0.14438343,6.196728,6557,25.597372,37.672554,26.783278,88764,2,4,2,65.1129,114.21059,-46.31076,124,6.196728,0.061881132,65.62541,69.92889,0.14219704,0.07520957,0.07520957,0.014215878,0.41475898,1.0364083E-4,4.217923E-4,3.9702226E-4,3.9702226E-4,3.6695626E-5,0.00282777,1.9528847,1.9528847,39.99437,0.027065644,0.02214246,-18.53986,-18.84024,-19.207294,-19.57441,-20.698116,-18.53986,-18.84024,-19.207294,-19.57441,-20.698116,-18.53986,-18.84024,-19.207294,-19.57441,-20.698116,3.674728,636
1000512000007,1000512000035,1000512000006,1000512000007,56000100001092,56000100001092,1000512000000,1000512000008,1000512000036,0,56,0.17489761,5.594269,6557,25.579275,37.654755,26.791557,88764,2,4,3,64.19646,120.0283,-42.896614,123,5.594269,0.05927117,63.7118,67.09392,0.15217334,0.045551978,0.0,0.04681005,0.24701336,0.0,9.058465E-4,2.6315462E-4,0.0,9.841934E-5,8.6981046E-4,0.0,0.0,41.44682,0.031069161,0.05369282,-16.083569,-16.822813,-17.453537,-17.967537,-19.316214,99.0,99.0,99.0,99.0,99.0,-16.08272,-16.822115,-17.45297,-17.967127,-19.316093,5.3466716,807
1000512000008,1000512000035,1000512000007,1000512000008,55000100001069,55000100001069,1000512000000,1000512000009,-1,0,55,0.20754863,4.131152,6557,25.545252,37.639862,26.804743,88764,2,4,3,63.911003,123.65637,-40.387596,128,4.131152,0.053047273,57.872738,65.338455,0.1473098,0.045551978,0.0,0.0011752421,0.27054515,0.0,8.954906E-4,2.6315462E-4,0.0,4.207507E-6,9.694798E-4,0.0,0.0,39.14613,0.03487146,0.010954738,-16.21411,-16.931395,-17.548815,-18.051994,-19.391462,99.0,99.0,99.0,99.0,99.0,-16.213352,-16.93077,-17.548311,-18.051628,-19.391356,5.0075173,932
1000512000009,1000512000035,1000512000008,1000512000009,54000100001127,54000100001127,1000512000000,1000512000010,-1,0,54,0.24246909,3.7008238,6557,25.54154,37.60952,26.810509,88764,2,4,3,64.73958,130.41685,-39.712048,120,3.7008238,0.050586585,56.092075,68.81201,0.14724082,0.045551978,0.0,0.0011681968,0.29259202,0.0,8.952434E-4,2.6315462E-4,0.0,4.1721814E-6,0.0010483111,0.0,0.0,39.15746,0.035528995,0.011320752,-16.423975,-17.114838,-17.718338,-18.213892,-19.566986,99.0,99.0,99.0,99.0,99.0,-16.423246,-17.114237,-17.717852,-18.21354,-19.566883,4.660222,708
