haloID,subHaloID,lastProgenitorId,treeId,snapNum,redshift,firstProgenitorId,nextProgenitorId,descendantId,firstHaloInFOFgroupId,nextHaloInFOFgroupId,np,m_Mean200,m_Crit200,m_TopHat,phKey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,velDisp,vMax,spinX,spinY,spinZ,mostBoundID,fileNr,subhaloIndex,halfmassRadius,random
7000055000000,63000700000000,7000055002591,7000055000000,63,0.0,7000055000001,-1,-1,7000055000000,7000055002909,65586,6447.696,4521.89,5484.9653,32119,1.362385,8.903979,33.674744,132131,0,0,3,-122.89385,-19.978281,83.34288,357.35544,610.59015,-18.288546,-2.076689,24.054014,393135,7,0,0.32894912,949
7000055000001,62000700000000,7000055002172,7000055000000,62,0.019932542,7000055000002,7000055002173,7000055000000,7000055000001,7000055002593,65848,6347.7734,4471.0254,5419.8135,32119,1.3535486,8.900935,33.641678,132131,0,0,3,-122.96275,-22.208557,82.58086,351.9336,600.297,-18.48472,-2.1139286,24.584187,19289164,7,0,0.34500253,192
7000055000002,61000700000000,7000055002126,7000055000000,61,0.041403063,7000055000003,7000055002127,7000055000001,7000055000002,7000055002911,64119,6206.0234,4440.042,5400.707,32119,1.3665307,8.908809,33.61528,132131,0,0,3,-128.14888,-27.493256,83.86153,350.5594,588.3189,-17.542925,-2.656959,24.073402,393135,7,0,0.35206628,194
7000055000003,60000700000000,7000055002076,7000055000000,60,0.064493395,7000055000004,7000055002077,7000055000002,7000055000003,7000055002595,62911,6068.2324,4389.263,5449.42,32119,1.4030392,8.916827,33.596264,132131,0,0,3,-127.87488,-34.711536,88.64766,347.99814,576.6342,-16.337542,-3.4519992,21.331305,393801,7,0,0.35091752,684
7000055000004,59000700000000,7000055002017,7000055000000,59,0.08928783,7000055000005,7000055002018,7000055000003,7000055000004,7000055002596,59103,5946.019,4297.7754,5407.1616,32119,1.450971,8.927613,33.582096,132131,0,0,3,-136.54974,-46.038036,91.59746,344.3607,574.40845,-14.78924,-5.15443,18.102955,393135,7,0,0.3322597,288
7000055000005,58000700000000,7000055001962,7000055000000,58,0.11588337,7000055000006,7000055001963,7000055000004,7000055000005,7000055002597,57265,5808.486,4142.857,5249.5757,32119,1.4935265,8.949641,33.56786,132131,0,1,3,-136.5782,-44.347534,91.2964,351.43332,581.5799,-15.763465,-6.1781917,16.864576,19289164,7,0,0.3138972,188
7000055000006,57000700000000,7000055001749,7000055000000,57,0.14438343,7000055000007,7000055001750,7000055000005,7000055000006,7000055002598,55127,5577.4,4111.0127,4892.4033,32119,1.5318192,8.974213,33.55117,132131,0,1,3,-134.26201,-45.8338,94.95086,361.93958,597.95294,-14.807746,-8.375826,13.5308895,19291655,7,0,0.28619152,253
7000055000007,56000700000000,7000055001706,7000055000000,56,0.17489761,7000055000008,7000055001707,7000055000006,7000055000007,7000055002599,52604,5221.432,3983.8938,4530.3247,32119,1.5636778,8.989788,33.515903,132131,0,1,3,-132.53741,-48.32331,104.20531,383.58585,622.9982,-13.291336,-5.5460296,11.584692,19289164,7,0,0.25360996,146
7000055000008,55000700000000,7000055001666,7000055000000,55,0.20754863,7000055000009,7000055001667,7000055000007,7000055000008,7000055002600,52329,4830.0913,3858.496,4323.853,32119,1.5689269,9.010368,33.45521,132131,0,1,3,-137.07487,-46.143143,101.97446,404.63724,664.877,-12.472043,-5.2607574,9.9528675,393933,7,0,0.23175213,312
7000055000009,54000700000000,7000055001603,7000055000000,54,0.24246909,7000055000010,7000055001604,7000055000008,7000055000009,7000055002601,48956,4582.8247,3717.4346,4180.9844,32119,1.5476533,9.042983,33.37072,132131,0,1,3,-117.51605,-56.130592,117.758484,357.79388,580.50073,-12.123261,-5.7514253,7.5691566,391543,7,0,0.2690167,200
7000055000010,53000700000000,7000055001582,7000055000000,53,0.2798018,7000055000011,7000055001583,7000055000009,7000055000010,7000055002214,46403,4333.4927,3360.5203,4038.2012,32119,1.5480739,9.056754,33.29492,132131,0,1,3,-115.02553,-53.19643,126.023544,332.55295,552.06573,-14.428545,-4.4304824,11.024065,19288533,7,0,0.28803796,659
7000055000011,52000700000000,7000055001582,7000055000000,52,0.31970343,7000055000012,-1,7000055000010,7000055000011,7000055002215,43005,4054.3816,2829.495,3424.295,32119,1.5625855,9.098542,33.238552,132131,0,1,3,-108.89882,-66.8654,130.04993,320.99316,541.63556,-11.714744,-4.4736776,6.795214,393792,7,0,0.27262387,917
7000055000012,51000700000046,7000055001525,7000055000000,51,0.36234027,7000055000013,7000055001526,7000055000011,7000055000012,7000055002216,39033,3378.5078,2745.3228,3107.487,32118,1.5963415,9.149707,33.197773,132103,0,1,3,-99.759445,-78.93805,131.96931,317.80905,540.37506,-8.951595,-4.1303415,4.3698688,19291303,7,46,0.24831854,904
7000055000013,50000700000000,7000055001489,7000055000000,50,0.40789944,7000055000014,7000055001490,7000055000012,7000055000013,7000055002217,36076,3218.0815,2695.0605,3009.4583,32118,1.6270484,9.184602,33.15203,132103,0,1,3,-92.698814,-84.121155,129.18573,321.05493,543.18097,-7.3285785,-2.1625633,5.0738516,19289109,7,0,0.22837576,954
7000055000014,49000700000029,7000055001450,7000055000000,49,0.45657724,7000055000015,7000055001451,7000055000013,7000055000014,7000055002218,33982,3188.819,2647.7244,3006.8765,32118,1.6666926,9.242345,33.11004,132103,0,1,3,-93.81212,-96.05,128.64171,335.74063,560.4898,-4.086127,-3.6258476,-3.2435367,391566,7,29,0.20799589,382
7000055000015,48000700000059,7000055001450,7000055000000,48,0.5085914,7000055000016,-1,7000055000014,7000055000015,7000055003692,31808,3175.1348,2652.8882,2969.1797,32118,1.7014195,9.278639,33.065975,132103,0,1,3,-93.51961,-96.03193,130.31544,335.50558,549.2758,-3.0061297,-2.0534403,-3.8860064,19291683,7,59,0.19757587,46
7000055000016,47000700000057,7000055001416,7000055000000,47,0.5641766,7000055000017,7000055001417,7000055000015,7000055000016,7000055001789,31824,3276.8643,2698.417,3094.4912,32118,1.7462846,9.315403,33.00301,132103,0,1,3,-95.12078,-98.68931,122.13115,343.04608,552.8158,-1.8064619,-2.1266787,-5.2719717,19291683,7,57,0.19790933,532
7000055000017,46000700000052,7000055001390,7000055000000,46,0.6235901,7000055000018,7000055001391,7000055000016,7000055000017,7000055001790,32649,3342.102,2819.9417,3198.3726,32118,1.8022019,9.340737,32.95298,132103,0,1,3,-96.35396,-96.75434,99.64753,343.92017,548.7955,-1.5176405,-1.9492517,-6.938765,19289109,7,52,0.20130827,709
7000055000018,45000700000056,7000055001172,7000055000000,45,0.6871088,7000055000019,7000055001173,7000055000017,7000055000018,7000055001791,34705,3412.0735,2856.6917,3293.9915,32118,1.8675494,9.316986,32.864136,132103,0,1,3,-93.00333,-108.69967,94.41804,351.00208,553.7418,-0.081973374,-1.5868918,-7.907003,19288733,7,56,0.21029378,878
7000055000019,44000700000061,7000055001084,7000055000000,44,0.75503564,7000055000020,7000055001085,7000055000018,7000055000019,7000055001792,34575,3399.594,3087.606,3337.713,32118,1.926688,9.405895,32.85433,132103,0,1,3,-95.325745,-111.24737,86.29441,364.05173,568.4611,-0.17823839,-1.0799415,-7.342195,391587,7,61,0.2065921,221
7000055000020,43000700000033,7000055000987,7000055000000,43,0.8276991,7000055000021,7000055000988,7000055000019,7000055000020,7000055003697,30949,3182.106,2976.4092,3136.4912,32113,1.9693288,9.507255,32.829666,132110,0,1,3,-98.46646,-109.33318,65.4478,385.32236,593.42145,-0.38805935,-0.67583185,-7.0461493,19291571,7,33,0.17209513,563
7000055000021,42000700000035,7000055000935,7000055000000,42,0.9054624,7000055000022,7000055000936,7000055000020,7000055000021,7000055001231,29783,2957.3025,2764.3433,2921.3271,32113,2.024317,9.5870695,32.853542,132110,0,1,3,-107.90566,-95.34675,72.16215,411.02313,610.9068,-0.67468953,-0.048584122,-5.509693,391304,7,35,0.150899,160
7000055000022,41000700000032,7000055000825,7000055000000,41,0.98870814,7000055000023,7000055000826,7000055000021,7000055000022,7000055001795,26716,2760.04,2506.6626,2730.3474,32113,2.0810876,9.611562,32.850044,132110,0,1,3,-125.68357,-98.93139,64.16614,355.3245,546.2417,-2.3526862,-0.964448,-3.416489,19292052,7,32,0.16669938,620
7000055000023,40000700000035,7000055000751,7000055000000,40,1.0778745,7000055000024,7000055000752,7000055000022,7000055000023,7000055001796,21994,2241.7524,2029.5146,2220.236,32113,2.1882365,9.632062,32.77629,132110,0,1,3,-155.08665,-88.52233,81.23179,336.3574,510.42148,-1.986444,-2.165605,0.19693667,19288960,7,35,0.16480704,721
7000055000024,39000700000036,7000055000613,7000055000000,39,1.173417,7000055000025,7000055000614,7000055000023,7000055000024,7000055001234,17215,1683.0142,1586.2764,1678.797,32113,2.3442075,9.590843,32.68074,132110,0,1,3,-177.62747,-83.27468,85.68327,375.1591,571.3571,-2.6533475,-2.5820222,5.1290402,391054,7,36,0.10124922,295
